"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on the Application of Artificial Intelligence Video Feedback System in College Basketball Shooting Teaching","J. Lin; L. Sun; J. Song","University of International Relations, Beijing, China; Shandong University of Finance and Economics, Shandong, China; Beijing University of Agriculture, Beijing, China",2020 International Conference on Computer Science and Management Technology (ICCSMT),"3 Jun 2021","2020","","","144","148","Objective: To test the effect of the artificial intelligence video feedback system in the basketball shooting teaching in Colleges and universities. Methods: 24 male basketball players from XX University were randomly divided into experimental group (n=12) and control group (n=12). The experimental group and the control group were given shooting learning for 8 weeks. During each teaching period, the experimental group was intervened with 10-minute video feedback system, while the control group was not intervened. Results: After the experiment, the shooting percentage and the performance of action skill evaluation of the experimental group were significantly higher than those before the experiment (p=0. 032<0.05). After the experiment, the control group in the fixed-point shot and jump shot shooting percentage and action skill evaluation results were higher than before the experiment (p=0.158>0.05). After the experiment, the experimental group in the fixed-point shot and jump shot shooting percentage and action skill evaluation results were significantly higher than the control group (p=0. 026<0.05). Conclusion: The application of artificial intelligence video feedback system in college basketball shooting teaching is helpful to: Students can get the action points of shooting technique more richly and intuitively; Help students quickly establish the technical action model and spatial thinking concept of shooting; The correction and consolidation of shooting techniques are more personalized and timely.","","978-1-7281-8668-9","10.1109/ICCSMT51754.2020.00035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9443720","artificial intelligence;video feedback;college;basketball teaching;shoot","Computer science;Computational modeling;Education;Control systems;Artificial intelligence","","","","18","IEEE","3 Jun 2021","","","IEEE","IEEE Conferences"
"Research on Applications of Artificial Intelligence in Business Management of Power Grid Enterprises","B. Chai; Q. Zhang; Q. Chen; T. Zhao; K. Gao","Artificial Intelligence on Electric Power System State Grid Corporation Joint Laboratory(GEIRI), Global Energy Interconnection Research Institute co. Ltd, Beijing, China; Artificial Intelligence on Electric Power System State Grid Corporation Joint Laboratory(GEIRI), Global Energy Interconnection Research Institute co. Ltd, Beijing, China; Artificial Intelligence on Electric Power System State Grid Corporation Joint Laboratory(GEIRI), Global Energy Interconnection Research Institute co. Ltd, Beijing, China; Artificial Intelligence on Electric Power System State Grid Corporation Joint Laboratory(GEIRI), Global Energy Interconnection Research Institute co. Ltd, Beijing, China; Artificial Intelligence on Electric Power System State Grid Corporation Joint Laboratory(GEIRI), Global Energy Interconnection Research Institute co. Ltd, Beijing, China","2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","13 Feb 2020","2019","","","683","688","Due to the fast development of deep learning, products and services based on artificial intelligence (AI) have been transformed from concept to reality. However, there still exist huge challenges when applying AI technologies in traditional industrial enterprises. This paper studies those key technologies that support business management applications from power grid enterprise perspective, where state-of-the-art use cases have been investigated. Finally, potential developing trends of business management are foreseen by considering the innovation of AI technologies.","2381-0947","978-1-7281-1907-6","10.1109/IAEAC47372.2019.8997608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8997608","Artificial intelligence;business management;power grid enterprise;speech recognition;natural language processing;image and video recognition;knowledge graph","Artificial intelligence;Speech recognition;Companies;Image recognition;Power grids;Natural language processing","","8","","11","IEEE","13 Feb 2020","","","IEEE","IEEE Conferences"
"Research on College English Teaching Mode Based on Artificial Intelligence","M. Yuan","Ningxia Hui Autonomous Regionline, China University of Mining and Technology Yinchuan College, China",2021 International Conference on Big Data Analysis and Computer Science (BDACS),"23 Aug 2021","2021","","","153","156","With the continuous development of the times, one of the major challenges facing college English in China is how to reduce or eliminate ""dumb English"". Over the years, with the continuous progress of artificial intelligence technology, it has been deeply explored in different fields and levels, such as the understanding of language knowledge or the cognition of images. However, how artificial intelligence technology needs to enter into college English teaching mode, and how to effectively and objectively integrate with college English teaching mode still needs further exploration. Based on this, this paper deeply explores the possibility of introducing artificial intelligence technology into college English teaching mode, and analyzes how to get the best effect by better integration, especially the effect of using artificial intelligence when teachers give feedback and evaluation after students' autonomous learning. On this basis, this paper explores the innovation of artificial intelligence in college English teaching mode, and integrates it into the artificial intelligence oral English training system of IFFIF. This artificial intelligence technology is mainly based on the advanced artificial intelligence language technology in Iflytek, and integrates the oral practice content in college English for evaluation, which presents the teaching analysis data more comprehensively, and supports the college English teaching mode and its management mode of different server terminals. According to the results of inquiry and analysis, it can be seen that the integration of artificial intelligence into college English teaching mode can help college English teaching mode to obtain a more novel teaching path and find the most ideal teaching mode, which is of great significance to the achievement of college English teaching.","","978-1-6654-2561-2","10.1109/BDACS53596.2021.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9516563","college English teaching;artificial intelligence;teaching mode","Training;Computer science;Technological innovation;Education;Learning (artificial intelligence);Writing;Big Data","","","","10","IEEE","23 Aug 2021","","","IEEE","IEEE Conferences"
"AI/ML Based new smart customer feedback system for hospitality Industry","Ramnarayan; K. Joshi; J. Reshi; M. Memoria; A. Gupta; N. Rastogi","Department of CSE, Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India; Department of CSE, Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India; Department of CSE, Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India; Department of CSE, Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India; Department of Management Studies, Graphic Era (Deemed to be University), Dehradun, Uttarakhand, India; Uttaranchal Institute of Management, Uttaranchal University, Dehradun, India","2022 7th International Conference on Computing, Communication and Security (ICCCS)","28 Mar 2023","2022","","","1","4","Since the last many years customer satisfaction play a significant role to improve the hospitality industry. In this article we introduce a proposed technology based practical and theoretical framework for customer feedback management system to improve the hospitality services and to enhance the customer business era. Technology such as Artificial intelligence and machine learning has important role to develop scalable smart feedback system. AI solution support the responding process for online customer reviews and assist the using automatically collected data. Sometime this is difficult to interpret the collected data form the customer, so we apply machine learning to fetch the corresponding data. Our solution contributes the existing customer feedback application to provide the smart feedback system to improve smart and open platform the customer and hospitality industry.","","979-8-3503-0990-4","10.1109/ICCCS55188.2022.10079480","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10079480","Artificial Intelligence;Machine Learning;AI Enable feedback system","Industries;Costs;Customer satisfaction;Machine learning;Security;Business","","22","","22","IEEE","28 Mar 2023","","","IEEE","IEEE Conferences"
"Analysis of the introduction of artificial intelligence in the control of UAV","J. Gúcky; K. Kováčiková; A. Novák; M. Bugaj","Air Transport Department, University of ŽHina, Žilina, Slovakia; Air Transport Department, University of ŽHina, Žilina, Slovakia; Air Transport Department, University of ŽHina, Žilina, Slovakia; Air Transport Department, University of ŽHina, Žilina, Slovakia",2022 New Trends in Aviation Development (NTAD),"16 Jan 2023","2022","","","67","70","Recently, the demand for unmanned aerial vehicles has been growing at an exponential rate and unmanned aerial vehicles are being used in many industries for many purposes. By adding artificial intelligence, the potential of these devices increases. Artificial intelligence itself can make operation of unmanned aircraft easier and more efficient, but it does not have only positive aspects. Artificial intelligence in drones requires more energy and also much more computing power. The paper is focused on the analysis of the introduction of artificial intelligence in the control of unmanned aerial vehicles. The paper contains comparative analysis of scientific papers that are dealing with artificial intelligence in the control of unmanned aerial vehicles.","","979-8-3503-2036-7","10.1109/NTAD57912.2022.10013514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10013514","UAV;artificial intelligence;analysis;unmanned aerial vehicle","Industries;Autonomous aerial vehicles;Market research;Artificial intelligence;Aircraft;Drones","","3","","23","IEEE","16 Jan 2023","","","IEEE","IEEE Conferences"
"Education 4.0 - Artificial Intelligence Assisted Higher Education: Early recognition System with Machine Learning to support Students' Success","M. Ciolacu; A. F. Tehrani; L. Binder; P. M. Svasta","UPB CETTI, University Politehnica of Bucharest, Bucharest, Romania; Faculty of Business Informatics, Deggendorf Institute of Technology, Deggendorf, Germany; Faculty of Business Informatics, Deggendorf Institute of Technology, Deggendorf, Germany; UPB CETTI, University Politehnica of Bucharest, Bucharest, Romania",2018 IEEE 24th International Symposium for Design and Technology in Electronic Packaging​ (SIITME),"3 Jan 2019","2018","","","23","30","Education 4.0 is being empowered more and more by artificial intelligence (AI) methods. We observe a continuously growing demand for adaptive and personalized Education. In this paper we present an innovative approach to promoting AI in Education 4.0. Our first contribution is AI assisted Higher Education Process with smart sensors and wearable devices for self-regulated learning. Secondly we describe our first results of Education 4.0 didactic methods implemented with learning analytics and machine learning algorithms. The aim of this case study is to predict the final score of students before participating in final examination. We propose an Early Recognition System equipped with real data captured in a blended learning course with a personalized test at the beginning of the semester, an adaptive learning environment based on Auto Tutor by N. A. Crowder theory with adaptive self-assessment feedback. It is obvious that focusing on students' success and their experiences is a win-win scenario for students and professors as well as for the administration.","","978-1-5386-5577-1","10.1109/SIITME.2018.8599203","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599203","Education 4.0;Artificial Intelligence;Early Recognition System;Machine Learning;Self-regulated Learning;Wearable devices;Educational Datamining","Education;Solid modeling;Intelligent sensors;Learning (artificial intelligence);Biomedical monitoring;Machine learning","","94","","34","IEEE","3 Jan 2019","","","IEEE","IEEE Conferences"
"Development, Application and Trend of Artificial Intelligence in China’s Financial Field","H. Zheng","Hankou University, Wuhan, China",2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID),"23 Mar 2021","2020","","","338","342","The development of financial technologies such as cloud computing, big data, blockchain and artificial intelligence (AI) is going deep into the core areas of the financial industry, promoting the intelligent development of the financial industry and exerting a far-reaching impact on economic and social life. This paper systemizes the current application of AI in the financial industry and its development trend. Besides, based on the features of the financial industry, several suggestions are put forward on the future development trend of intelligent finance.","","978-1-6654-1541-5","10.1109/MSIEID52046.2020.00071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9382519","Artificial intelligence (AI);Finance;Development;Application;Trend","Economics;Technological innovation;Finance;Market research;Artificial intelligence;Financial industry;Investment","","2","","4","IEEE","23 Mar 2021","","","IEEE","IEEE Conferences"
"Information Technology (IT) Governance Framework with Artificial Neural Network and Balance Scorecard to Improve the Success Rate of Software Projects","M. M. Antony Ranesh; S. Justin Samuel; R. Natchadalingam; P. Jeyanthi","Dept of Information Technology, School of Computing, Sathyabama Institute of Science and Technology, India; Dept of Computer Science and Engineering, PSN Engineering College, Trinelveli, India; Dept of Computer Science and Engineering, PSN Engineering College, Trinelveli, India; Dept of Information Technology, School of Computing, Sathyabama Institute of science and technology","2022 6th International Conference on Electronics, Communication and Aerospace Technology","16 Jan 2023","2022","","","1216","1221","IT governance enables companies to plan and manage their IT investments in order to achieve their strategic objectives. Overall goal of this paper is to discuss about an approach to increase the success of the software projects through Artificial Intelligence. Standard governance standards are analyzed to understand the impact on software project success rates. Enterprise governance is a subset of IT governance that aids in the management of information technology resources. COBIT is a widely used methodology for developing effective enterprise IT governance. ISACA (Information Systems Audit and Control Association) stated implementation solution currently uses a sequentially ordered approach, which has raised issues. Several challenges have arisen as a result of top management's lack of commitment and misplaced solutions. Limitation on this investigation is the customized and confidential governance pattern used across various organization, hence there are very limited real time data for end-to-end analysis. Nonetheless, in combination with the agile project management paradigm, new project life-cycle solutions have evolved. Artificial Intelligence (AI) is an important element to address the increasing demand for machine learning systems. Artificial neural network (ANN) method is highly useful to arrive at best possible solution to improve the project success. This study found that ANN with Balance Score Card was exceptionally effective in providing the optimal solution to increase the project success rates.","","978-1-6654-8271-4","10.1109/ICECA55336.2022.10009299","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10009299","Artificial Intelligence;Project Management;Critical success factors;management;IT governance;COBIT;Artificial neural network (ANN);Balance Scorecard","Standards organizations;Project management;Artificial neural networks;Machine learning;Companies;Software;Real-time systems","","","","14","IEEE","16 Jan 2023","","","IEEE","IEEE Conferences"
"Application and influence of artificial intelligence technology in commercial banks","X. Li","Guangzhou College of Applied Science and Technology, Guangzhou, China",2021 2nd International Conference on Computer Science and Management Technology (ICCSMT),"8 Jun 2022","2021","","","455","458","As a subversive technology, artificial intelligence will promote the transformation of commercial banks to intelligence. At present, technologies such as speech recognition and integrated learning have been applied in the banking industry, such as intelligent response robot, personalized application experience and service, etc. Commercial banks have also set up big data teams to use machine learning and predictive analysis technology for customer group portrait and risk early warning. In the future, AI related technologies will be applied to more scenarios such as risk control, credit decision-making, insurance pricing, service recommendation and customer service to further optimize the back-end and front-end business of commercial banks and improve operational efficiency.","","978-1-6654-2063-1","10.1109/ICCSMT54525.2021.00089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9786935","artificial intelligence;machine learning;intelligent transformation;internet iinance","Service robots;Profitability;Customer services;Insurance;Transforms;Speech recognition;Pricing","","","","5","IEEE","8 Jun 2022","","","IEEE","IEEE Conferences"
"Design and Implementation of Artificial Intelligence Platform Dedicated to Power System","J. Bai; Y. Yin; J. Liu; Y. Qin; Y. Cui",State Grid Information and Telecommunication Group; State Grid Information and Telecommunication Group; State Grid Information and Telecommunication Group; State Grid Information and Telecommunication Group; State Grid Information and Telecommunication Group,2021 7th International Conference on Systems and Informatics (ICSAI),"10 Jan 2022","2021","","","1","6","With the rapid development of the digital age and the tremendous changes in traditional industries, global artificial intelligence (AI) has become a general trend. In the power system, the combination of AI technology and traditional power domain has greatly promoted the technological progress of the digital transformation of the power industry. However, the difficulty of AI algorithm research and development, the lack of unified management of data and models, and other issues restrict the wide application of AI technology in power systems. Establishing a unified AI platform for the power system and providing a unified AI model operation service support has become the key to power system AI technology progress. In this work, we propose a power system AI platform design and implementation plan, which provides the full-chain functions from model production to service formation, including sample processing, model training, and shared release. Specifically, the platform includes three modules—data set, model set, and learning environment—which have functions such as model deployment, data management, service release, and service management, etc. The data set includes functions such as data preprocessing, tag management, and metadata management, and has multi-person collaborative service interfaces. The model set includes model evaluation, model compression, model resources and catalog service interfaces. The learning environment includes functions such as custom algorithm management, automated model training, resource scheduling, etc. The results of applying AI technology in typical business scenarios such as power transmission, power transformation, and safety supervision verify the platform's full-chain support capability in the model formation process.","","978-1-6654-2624-4","10.1109/ICSAI53574.2021.9664153","State Grid Technical Project(grant numbers:5442AI210006); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9664153","","Training;Power transmission;Production;Data models;Power industry;Power systems;Safety","","","","15","IEEE","10 Jan 2022","","","IEEE","IEEE Conferences"
