"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Effective E-Learning Practices by Machine Learning and Artificial Intelligence","A. Naim; S. M. Alshawaf; P. Kumar Malik; R. Singh","Department of Information Systems, King Khalid University, Abha, KSA; Department of Education Technology, King Khalid University, Abha, KSA; School of Electronics and Electrical Engineering, Lovely Professional University, Phagwara, Punjab, India; Division of Research and Innovation, Uttaranchal University, Dehradun, Uttrakhand",2023 International Conference on Artificial Intelligence and Smart Communication (AISC),"3 Apr 2023","2023","","","491","495","The world is moving at a fast pace having the application of Machine Learning (ML) and Artificial Intelligence (AI) in all the major disciplines and the educational sector is also not untouched by its impact especially in an online learning environment. E-Learning (EL) is always under the monitoring of its effectiveness and suitability for learning and teaching (L&T) due to its nature. This paper attempts to elaborate on the benefits of ML and AI in E-Learning (EL) in general and explain how King Khalid University (KKU) EL Deanship is making the best of ML and AI in its practices to make EL effective and an appropriate platform of L&T. This research is descriptive in nature; results are based on qualitative analysis done through studying the applications of ML and AI in KKU’s EL but the same modus operandi can be implemented by any institution in its EL platform to learn the effectiveness of their EL. KKU is using Learning Management Services (LMS) for providing online learning practices and Blackboard (BB) for sharing online learning resources. This research applies the ML and AI in LMS and BB services in KKU and measured the effectiveness of EL. The results show constructive impact of ML and AI in EL in KKU and effective working of EL in imparting the L&T.","","979-8-3503-2230-9","10.1109/AISC56616.2023.10085391","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10085391","Artificial Intelligence;Blackboard;E-Learning Deanship;Learning Management Services;Machine Learning","Adaptive learning;Electronic learning;Learning automata;Measurement uncertainty;Learning (artificial intelligence);Machine learning;Artificial intelligence","","9","","33","Crown","3 Apr 2023","","","IEEE","IEEE Conferences"
"Navigating Artificial Intelligence in Strategic Management in Schools and Organizations","K. M. Al-Tkhayneh; A. Olowoselu; M. K. Ibrahim; I. Suleiman Al Qatawneh; T. A. Jabarah","College of Education, Humanities and Social Sciences, Al Ain University, ALAin, UAE; Faculty of Education, Modibbo Adama University, Nigeria; College of Education, Humanities and Social Sciences, Al Ain University, ALAin, UAE; College of Law, Al Ain University, ALAin, UAE; College of Education, Humanities and Social Sciences, Al Ain University, Al Ain, UAE",2024 25th International Arab Conference on Information Technology (ACIT),"17 Feb 2025","2024","","","1","5","This study logically discusses navigating artificial intelligence (AI) in strategic management in schools and organizations. It identified AI innovations in strategic management, including generative adversarial networks, natural language processing, predicting analysis, and reinforcement learning. The study outlined AI implications for strategic management and discussed the essentials of AI in strategic management. Meanwhile, navigating AI in strategic management can be done through these approaches such as defining the objectives, developing a strategy, personnel training, developing a pilot project, and conducting evaluation and performance appraisal on the integrating processes. However, this study discusses the challenges of AI in strategic management integration and outlines the solutions to the challenges of integrating AI into the strategic management of schools and organizations. This study concluded that Navigating AI into strategic management enhances the school and organization to be more data-driven, adaptive, and efficient in-service delivery with improved productivity.","2831-4948","979-8-3315-4001-2","10.1109/ACIT62805.2024.10876908","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10876908","Artificial Intelligence;Strategic Management;Schools;Organization","Productivity;Training;Technological innovation;Navigation;Supply chains;Organizations;Reinforcement learning;Resource management;Risk management;Artificial intelligence","","","","20","IEEE","17 Feb 2025","","","IEEE","IEEE Conferences"
"Design and Development of Music Intelligent Education System Based on Artificial Intelligence","B. Xu","Wuhan Business University, Wuhan, Hubei, China",2024 Third International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),"12 Jun 2024","2024","","","1","6","In traditional teaching, students may find it difficult to receive timely and personalized feedback, and some students may lose interest in music learning due to the monotony of traditional learning methods. This article aimed to design a music intelligent education system based on artificial intelligence (AI), providing rich learning content and personalized guidance to enhance students' interest in learning. The artificial intelligence based music intelligent education system designed in this article was divided into basic information management module, student music task management module, personalized recommendation module, interactive community module, and artificial intelligence algorithm module. It can monitor student performance, provide personalized feedback and guidance, help students improve, and provide a richer and more interesting learning experience. The experimental results of this article showed that under traditional music education, only 21 students were very interested in music, while under the music intelligent education system, there were 120 students who were very interested in music. The music intelligent education system based on artificial intelligence can not only compensate for the shortcomings of traditional music education, but also provide students with more personalized, efficient, and interesting learning experiences.","","979-8-3503-1860-9","10.1109/ICDCECE60827.2024.10548114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548114","artificial intelligence;music intelligent education system;personalized recommendation;interactive community;collaborative filtering","Learning systems;Education;Music;Learning (artificial intelligence);Market research;Planning;Artificial intelligence","","2","","15","IEEE","12 Jun 2024","","","IEEE","IEEE Conferences"
"Smart Finance: An overview of Artificial Intelligence Integration in Fintech","P. D. Akre; U. Pacharaney; W. Siraskar","Department of Artificial Intelligence and Data Science, Faculty of Engineering and Technology, Datta Meghe Institute of Higher Education and Research, Wardha, Maharashtra, India; Department of Artificial Intelligence and Machine Learning, Faculty of Engineering and Technology, Datta Meghe Institute of Higher Education and Research, Wardha, Maharashtra, India; Yeshwantrao Chavan College of Engineering, Nagpur, Maharashtra, India","2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry (IDICAIEI)","20 Jan 2025","2024","","","1","6","The role of FinTech in advancing contemporary economies, societies, and technologies is growing. Smart FinTech is the next wave of FinTech that leverages artificial intelligence and data science methodologies to drive major advancements in fields including blockchain, cryptocurrencies, InsurTech, PayTech, BankingTech, TradeTech, LendTech, InsurTech, WealthTech, and RiskTech. An overview of these domains, as well as the artificial intelligence and data science techniques applied, is given in this paper. These techniques include augmentation, optimization, privacy-preserving processing, deep learning, federated learning, and intelligent interactions, complex system methods, mathematical approaches, knowledgeable communication, recognition and responses, and data analytics. This study offers a thorough analysis of smart financial companies, the obstacles they face, the smart FinTech environment, the artificial intelligence and data science methods that make smart FinTech possible, and potential future research areas for the artificial intelligence and data science community. To improve comprehension and analysis, the work makes use of visual aids such as figures and tables. The relevance of data quality, including data augmentation and manipulation, as well as enhancing fairness and decision-support, is emphasized in the study for financial firms. It also covers ethical and explicable FinTech, with a focus on privacy preservation, accountability, openness, and objectivity in FinTech and business designs. The potential for more research and innovation at the heart of analytics, data science, and FinTech is highlighted in the paper's conclusion.","","979-8-3315-2871-3","10.1109/IDICAIEI61867.2024.10842818","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10842818","Fintech;banking;artificial intelligence;machine learning;algorithmic trading;blockchain","Ethics;Visualization;Technological innovation;Fintech;Education;Companies;Data science;Regulation;Risk management;Artificial intelligence","","","","21","IEEE","20 Jan 2025","","","IEEE","IEEE Conferences"
"Evolution of Social Interactive Skills through Integration of Artificial Intelligence & Machine Learning for better Employability","V. Bhatt; D. B. Gupta; D. Jain; R. Saxena; G. Sirohi; R. Tiwari","School of Applied Sciences and Languages, VIT Bhopal University, Madhya Pradesh, India; School of Applied Sciences and Languages, VIT Bhopal University, Madhya Pradesh, India; Jaypee University of Engineering and Technology, Guna, India; School of Applied Sciences and Languages, VIT Bhopal University, Madhya Pradesh, India; Department of Commerce, Acropolis Institute of Management Studies & Research, Indore, India; Department of CSE, CMR Engineering College, Hyderabad, Telangana, India","2024 IEEE 6th International Conference on Cybernetics, Cognition and Machine Learning Applications (ICCCMLA)","11 Feb 2025","2024","","","352","355","This article will examine the latest developments in the field’s study and application of artificial intelligence (AI) and how it is changing professional skills in order to meet the concerns brought forth. In many organisational sectors, artificial intelligence (AI) has the potential to reduce cognitive effort or automate tasks that were previously completed by humans. The rapid changes have a significant effect on firms and people, despite the fact that this could result in higher productivity and efficiency because AI is occasionally perceived as a source of job losses. To successfully adapt to this shift, companies and institutions need to establish efforts for upskilling and reskilling as well as new organisational and working patterns. More research is necessary to completely understand how artificial intelligence (AI) impacts human capabilities and how soft skills support AI adoption in enterprises. Future studies should consider Industry 5.0’s challenges, which are likely to require even greater automation and the incorporation of new technologies.","","979-8-3315-0579-0","10.1109/ICCCMLA63077.2024.10871707","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10871707","Evolution;Social Interactive Skills;Integration of Artificial Intelligence;Machine Learning;Better Employability;Up Skilling;Re-Skilling Initiatives;Higher Output;Efficiency","Training;Productivity;Industries;Computer science;Employment;Social sciences;Machine learning;Mathematics;Artificial intelligence;Business","","","","15","IEEE","11 Feb 2025","","","IEEE","IEEE Conferences"
"The Use of Artificial Intelligence Algorithms in Foreign Languages Teaching","A. S. Shimichev; M. B. Rotanova","Department of european languages and methods of their teaching, Minin Nizhny Novgorod State Pedagogical University, Nizhny Novgorod, Russia; Department of advertisement, public relations and tourism, Linguistics University of Nizhny Novgorod, Nizhny Novgorod, Russia","2024 International Conference ""Quality Management, Transport and Information Security, Information Technologies"" (QM&TIS&IT)","2 Dec 2024","2024","","","178","181","The article is devoted to the analysis of the phenomenon of artificial intelligence and neural networks in the framework of foreign language education. The authors analyze the possibilities of these digital resources in foreign languages teaching. The article discusses current issues of the development and implementation of neural networks, describes their technical and technological characteristics for the educational content development. It has been identified and presented both the teaching and evaluating potential of neural networks in the practice of foreign languages teaching. It is presented the algorithm of software implementation in the form of an application. The authors analyze the existing tools of neural networks, the range of their capabilities in organizing feedback to students and the additional conditions that arise in this regard for mastering a foreign language. The article provides an algorithm for developing educational content based on neural networks for the development of all types of foreign language speech activity. They are given some methodological recommendations that describe the advantages and limits of using neural networks in the practice of foreign language education.","","979-8-3503-6752-2","10.1109/QMTISIT63393.2024.10762916","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10762916","artificial intelligence;neural networks;foreign language learning;digital educational content;digital learning tools","Learning systems;Training;Education;Software algorithms;Learning (artificial intelligence);Big Data;Chatbots;Software;Data models;Blockchains","","","","15","IEEE","2 Dec 2024","","","IEEE","IEEE Conferences"
"Application of Generative Artificial Intelligence Technology in Customized Learning Path Design: A New Strategy for Higher Education","Y. Li; W. Ji; J. Liu; W. Li","Entrepreneurship College, Guangdong University of Science and Technology Innovation, Dongguan, China; Guangdong University of Science and Technology Building, China; School of Creative Design, Dongguan City College, Dongguan, China; College Class 4 Network 23, Guangdong University of Science and Technology Computer, Dongguan, China",2024 International Conference on Interactive Intelligent Systems and Techniques (IIST),"4 Nov 2024","2024","","","567","573","In today's rapidly evolving education field, generative artificial intelligence (AI) technology is increasingly becoming a key force in promoting teaching innovation and personalized learning solutions. This article deeply explores the application of generative AI technology in designing customized learning paths in higher education and its profound impact on educational practice. Through specific case analysis, this study reveals how generative AI can effectively analyze students' learning behaviors, preferences, and performance to automatically generate and adjust learning paths in real time, thereby providing students with a highly personalized learning experience. Research results show that using generative AI technology can significantly improve learning efficiency, increase student engagement and satisfaction, and optimize learning outcomes. In addition, this article also demonstrates the ability of generative AI to promote innovation in learning content and teaching methods, improve the efficiency of educational resource utilization, and enhance the adaptability of learning paths. Through these findings, this paper provides valuable insights for higher education institutions, pointing out the importance and feasibility of leveraging generative AI technologies to design personalized learning paths, while highlighting key considerations that should be noted during implementation.","","979-8-3503-7442-1","10.1109/IIST62526.2024.00099","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10734572","generative artificial intelligence;customized learning path;higher education innovation;learning experience optimization","Technological innovation;Generative AI;Education;Force;Learning (artificial intelligence);Real-time systems;Resource management;History;Intelligent systems;Optimization","","","","19","IEEE","4 Nov 2024","","","IEEE","IEEE Conferences"
"Artificial Intelligence Algorithms in Sports Rehabilitation Control Management System","J. Xu; Z. Xu","Department of General Physical Education, China Academy of Art, Hangzhou, Zhejiang, China; Department of PE, Zhejiang SCI-TECH University, Hangzhou, Zhejiang, China",2024 Second International Conference on Data Science and Information System (ICDSIS),"18 Jul 2024","2024","","","1","5","The aim of this study is to explore and propose the application of artificial intelligence algorithms in sports rehabilitation control management systems, in order to solve the problems existing in traditional research. By introducing advanced artificial intelligence technologies, including machine learning, deep learning, data mining, personalized rehabilitation plans can be achieved, and data analysis efficiency can be improved. Real-time monitoring and feedback can also be achieved, and intelligent decision support can be provided to promote more intelligent and personalized rehabilitation treatment, thus improving the quality of life and rehabilitation outcomes of patients. The performances of long short-term memory (LSTM) and traditional recurrent neural network (RNN) in terms of rehabilitation action recognition accuracy are compared through experiments. The experimental results show that the average accuracy of LSTM reaches 75%, significantly higher than the 60% of traditional RNN. In terms of recall ratio for rehabilitation actions, LSTM achieves 84%, while traditional RNN only achieves 69%. These clear numerical differences clearly demonstrate the excellent performance of LSTM in rehabilitation action recognition. This study provides empirical support for the application of artificial intelligence algorithms in sports rehabilitation, revealing the enormous potential of LSTM in the field of rehabilitation.","","979-8-3503-8166-5","10.1109/ICDSIS61070.2024.10594681","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10594681","Rehabilitation Control Management System;Artificial Intelligence Algorithms;Long Short-Term Memory Algorithm;Recurrent Neural Network Algorithm;Rehabilitation Action Recognition","Accuracy;Recurrent neural networks;Machine learning algorithms;Memory management;Control systems;Real-time systems;Artificial intelligence","","","","15","IEEE","18 Jul 2024","","","IEEE","IEEE Conferences"
"An Impact of Artificial Intelligence in Fintech","M. Manikandan; P. Venkatesh; D. Chitra; M. Krishnamoorthi; M. Ramu; C. R. Senthilnathan","Sri Sairam Engineering College, Chennai, India; Sri Sairam Engineering College, Chennai, India; Department of MBA, Panimalar Engineering College, India; Faculty of Commerce and Management, Kristu Jayanti College, Bengaluru, Bengaluru, India; Sri Sairam Engineering College, Chennai, India; Sri Sairam Institute of Technology, Chennai, India","2024 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS)","12 Dec 2024","2024","","","1","3","Technological advancements in the last decade have greatly impacted the financial technology (fintech) industry by making financial services more accessible, efficient, and personalized. Out of all these innovations, artificial intelligence (AI) is having the most impact on how the industry is changing. AI is truly a game-changer for the financial sector. It can handle massive volumes of data, spot trends, and make choices with little to no human input. This article examines the function of artificial intelligence (AI) within the financial technology industry, outlining its uses in areas such as algorithmic trading, customer service, credit scoring, lending, investment management, and fraud prevention. It outlines the advantages of AI, which include better risk management, enhanced decision-making, a more satisfying customer experience, and reduced costs and increased efficiency. Data privacy and security, ethical issues, keeping up with regulations, and technical and operational dangers are just few of the issues covered in the article as they pertain to the integration of AI. To demonstrate the revolutionary effect of AI, the article presents case studies of prominent AI deployments in fintech firms. The report concludes by looking ahead to what's to come, speculating that new AI technologies will keep pushing the financial technology industry to innovate. Future financial services will be shaped in new ways by the constant evolution and integration of AI into fintech.","","979-8-3315-0884-5","10.1109/ICPECTS62210.2024.10780020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10780020","Artificial Intelligence (AI);Fintech;Financial Technology;Machine Learning;Fraud Detection;Customer Service;Credit Scoring;Investment Management etc","Industries;Ethics;Technological innovation;Navigation;Machine learning;Stakeholders;Security;Artificial intelligence;Business;Investment","","","","5","IEEE","12 Dec 2024","","","IEEE","IEEE Conferences"
"Business Management Transformation Through the Influence of Artificial Intelligence","M. Prorok; I. Takács","Keleti Károly Faculty of Business and Management, Innovation Management Doctoral School, Obuda University, Budapest, Hungary; Keleti Károly Faculty of Business and Management, Innovation Management Doctoral School, Obuda University, Budapest, Hungary",2024 IEEE 22nd Jubilee International Symposium on Intelligent Systems and Informatics (SISY),"5 Nov 2024","2024","","","000107","000112","The paper examines the profound influence of Artificial Intelligence (AI) on business management. Artificial intelligence imitates human cognitive abilities, including observation, problem-solving, learning, and decision-making. This allows machines, algorithms to carry out activities with intelligence that resembles that of humans. The research emphasizes the capacity of AI to evaluate vast information, detect patterns, and autonomously make judgments, hence improving productivity, and efficiency utilizing secondary research from relevant publications to the topic by international researchers. AI approaches such as machine learning, Natural Language Processing (NLP), deep learning, and neural networks are widely used in sectors like manufacturing, finance, and health care. AI in business management streamlines repetitive operations, enhances operational effectiveness, diminishes expenses, and mitigates human fallibility. AI-based analytics offer essential insights for strategic planning, while AI-driven customization improves client relations. Nevertheless, it is imperative to solve difficulties such as ensuring the accuracy and reliability of data, enhancing the openness of models, considering ethical implications, and seamlessly integrating AI systems into current processes. In this article, we discuss ways to enable companies to make the most of AI's business management potential. The result of the research demonstrated that AI automates commonplace duties, minimizing human error and manual labor requirements-significant cost savings and enhanced operational efficacy result from this automation. Furthermore, data analytics powered by artificial intelligence reveal patterns and trends within enormous datasets, whereby furnishing crucial insights that guide strategic planning and decision-making.","1949-0488","979-8-3503-8560-1","10.1109/SISY62279.2024.10737615","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10737615","artificial intelligence;business management;automation;decision-making;data analytics","Productivity;Decision making;Neural networks;Medical services;Strategic planning;Natural language processing;Reliability;Problem-solving;Artificial intelligence;Business","","","","27","IEEE","5 Nov 2024","","","IEEE","IEEE Conferences"
